HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0005430,Female + Unbiased,2,2,2,2
N0.HOG0005436,All unbiased,2,2,2,2
N0.HOG0005445,All unbiased,2,2,2,2
N0.HOG0005446,All male-biased,2,2,2,2
N0.HOG0005448,All unbiased,3,3,3,3
N0.HOG0005449,All unbiased,2,2,2,2
N0.HOG0005450,All unbiased,3,3,3,3
N0.HOG0005451,All unbiased,2,2,2,2
N0.HOG0005453,All unbiased,3,3,3,3
N0.HOG0005454,All unbiased,2,2,2,2
N0.HOG0005455,All unbiased,2,2,2,2
N0.HOG0005456,All female-biased,2,2,2,2
N0.HOG0005457,All unbiased,2,2,2,2
N0.HOG0005458,All female-biased,2,2,2,2
N0.HOG0005459,All unbiased,2,2,2,2
N0.HOG0005460,All unbiased,2,2,2,2
N0.HOG0005461,All unbiased,2,2,2,2
N0.HOG0005464,All unbiased,2,2,2,2
N0.HOG0005468,All female-biased,2,2,2,2
N0.HOG0005469,All unbiased,2,2,2,2
N0.HOG0005470,All male-biased,2,2,2,2
N0.HOG0005479,All unbiased,3,3,3,3
N0.HOG0005480,All unbiased,2,2,2,2
N0.HOG0005483,All unbiased,2,2,2,2
N0.HOG0005491,All male-biased,2,2,2,2
N0.HOG0005497,Female + Unbiased,2,2,2,2
N0.HOG0005498,Male + Unbiased,2,3,3,2
N0.HOG0005499,All unbiased,2,2,2,2
N0.HOG0005502,Male + Unbiased,2,2,2,2
N0.HOG0005504,All male-biased,2,2,2,2
N0.HOG0005505,All male-biased,2,2,2,2
N0.HOG0005506,All unbiased,2,2,2,2
N0.HOG0005509,All unbiased,2,2,2,2
N0.HOG0005510,All unbiased,2,2,2,2
N0.HOG0005527,All unbiased,3,3,3,3
N0.HOG0005535,Male + Unbiased,2,2,2,2
N0.HOG0005536,All male-biased,2,3,2,2
N0.HOG0005539,All male-biased,3,3,3,3
N0.HOG0005543,All unbiased,2,11,8,2
N0.HOG0005544,Male + Unbiased,3,13,9,3
N0.HOG0005545,Male + Unbiased,3,9,8,3
N0.HOG0005550,Male + Unbiased,6,10,10,6
N0.HOG0005553,Male + Unbiased,2,3,3,2
N0.HOG0005554,Male + Unbiased,5,11,8,5
N0.HOG0005555,All unbiased,5,16,13,5
N0.HOG0005613,All male-biased,2,2,2,2
N0.HOG0005617,All unbiased,2,2,2,2
N0.HOG0005651,Male + Unbiased,3,3,3,3
N0.HOG0005655,All female-biased,2,3,3,2
N0.HOG0005667,All unbiased,2,2,2,2
N0.HOG0005698,All unbiased,2,2,2,2
N0.HOG0005700,All unbiased,2,2,2,2
N0.HOG0005723,All unbiased,2,2,2,2
N0.HOG0005726,All unbiased,2,2,2,2
N0.HOG0005740,All unbiased,2,2,2,2
N0.HOG0005748,Male + Unbiased,2,2,2,2
N0.HOG0005774,All unbiased,2,2,2,2
N0.HOG0005775,Male + Unbiased,2,2,2,2
N0.HOG0005779,All unbiased,2,2,2,2
N0.HOG0005789,All unbiased,2,2,2,2
N0.HOG0005790,All unbiased,2,2,2,2
N0.HOG0005805,All male-biased,2,2,2,2
N0.HOG0005806,Female + Unbiased,2,2,2,2
N0.HOG0005809,All male-biased,3,3,3,3
N0.HOG0005826,Male + Female,2,2,2,2
N0.HOG0005831,All unbiased,2,3,2,2
N0.HOG0005845,All male-biased,2,2,2,2
N0.HOG0005850,All unbiased,2,2,2,2
N0.HOG0005853,All unbiased,2,2,2,2
N0.HOG0005868,All male-biased,2,2,2,2
N0.HOG0005880,All female-biased,2,2,2,2
N0.HOG0005888,All unbiased,2,2,2,2
N0.HOG0005889,All unbiased,2,2,2,2
N0.HOG0005897,All male-biased,4,4,4,4
N0.HOG0005920,All unbiased,2,2,2,2
N0.HOG0005933,All unbiased,2,2,2,2
N0.HOG0005934,All unbiased,2,2,2,2
N0.HOG0005935,All unbiased,2,2,2,2
N0.HOG0005936,All unbiased,2,2,2,2
N0.HOG0005944,All unbiased,2,2,2,2
N0.HOG0005946,All female-biased,2,2,2,2
N0.HOG0005947,All unbiased,2,2,2,2
N0.HOG0005948,All unbiased,2,2,2,2
N0.HOG0005952,All unbiased,2,2,2,2
N0.HOG0005953,All unbiased,2,2,2,2
N0.HOG0005955,Male + Unbiased,2,2,2,2
N0.HOG0005956,All unbiased,2,2,2,2
N0.HOG0005957,All unbiased,2,2,2,2
N0.HOG0005958,All unbiased,2,2,2,2
N0.HOG0005960,Male + Unbiased,2,12,10,2
N0.HOG0005978,Female + Unbiased,2,2,2,2
N0.HOG0005979,All unbiased,2,2,2,2
N0.HOG0005981,All unbiased,2,2,2,2
N0.HOG0005985,All unbiased,2,2,2,2
N0.HOG0005993,Female + Unbiased,2,2,2,2
N0.HOG0005994,All unbiased,2,2,2,2
N0.HOG0006000,Male + Unbiased,3,4,4,3
N0.HOG0006016,All unbiased,2,2,2,2
N0.HOG0006017,All unbiased,2,2,2,2
N0.HOG0006018,All female-biased,2,2,2,2
N0.HOG0006019,All unbiased,2,2,2,2
N0.HOG0006020,All unbiased,2,2,2,2
N0.HOG0006021,All unbiased,2,2,2,2
N0.HOG0006024,All unbiased,2,2,2,2
N0.HOG0006030,All unbiased,2,2,2,2
N0.HOG0006032,Female + Unbiased,2,2,2,2
N0.HOG0006034,All female-biased,2,2,2,2
N0.HOG0006041,All unbiased,2,2,2,2
N0.HOG0006042,All unbiased,2,2,2,2
N0.HOG0006062,All female-biased,2,2,2,2
N0.HOG0006074,All male-biased,2,2,2,2
N0.HOG0006076,All unbiased,2,2,2,2
N0.HOG0006088,All unbiased,2,2,2,2
N0.HOG0006091,Male + Unbiased,2,2,2,2
N0.HOG0006095,Female + Unbiased,2,2,2,2
N0.HOG0006103,All unbiased,2,2,2,2
N0.HOG0006122,Male + Unbiased,2,2,2,2
N0.HOG0006124,All female-biased,2,2,2,2
N0.HOG0006125,All unbiased,2,2,2,2
N0.HOG0006126,All unbiased,2,2,2,2
N0.HOG0006127,All unbiased,2,2,2,2
N0.HOG0006133,All unbiased,2,2,2,2
N0.HOG0006138,Female + Unbiased,2,2,2,2
N0.HOG0006139,All unbiased,2,2,2,2
N0.HOG0006141,All unbiased,2,2,2,2
N0.HOG0006142,All unbiased,2,2,2,2
N0.HOG0006148,All male-biased,2,2,2,2
N0.HOG0006159,All unbiased,2,2,2,2
N0.HOG0006185,All unbiased,2,2,2,2
N0.HOG0006187,All unbiased,2,2,2,2
N0.HOG0006188,All unbiased,2,2,2,2
N0.HOG0006189,All female-biased,2,2,2,2
N0.HOG0006190,All unbiased,2,2,2,2
N0.HOG0006191,All male-biased,2,2,2,2
N0.HOG0006192,All unbiased,2,2,2,2
N0.HOG0006206,All unbiased,2,2,2,2
N0.HOG0006217,All male-biased,2,2,2,2
N0.HOG0006218,All unbiased,2,2,2,2
N0.HOG0006219,All unbiased,2,2,2,2
N0.HOG0006220,All unbiased,2,2,2,2
N0.HOG0006221,All unbiased,2,2,2,2
N0.HOG0006222,All unbiased,2,2,2,2
N0.HOG0006223,All unbiased,2,2,2,2
N0.HOG0006252,All male-biased,2,2,2,2
N0.HOG0006257,All unbiased,2,2,2,2
N0.HOG0006271,All unbiased,2,2,2,2
N0.HOG0006272,All unbiased,2,2,2,2
N0.HOG0006273,Female + Unbiased,2,2,2,2
N0.HOG0006277,All male-biased,2,2,2,2
N0.HOG0006285,Female + Unbiased,3,14,12,3
N0.HOG0006295,All unbiased,2,2,2,2
N0.HOG0006305,All unbiased,2,2,2,2
N0.HOG0006306,All unbiased,2,2,2,2
N0.HOG0006323,All unbiased,2,2,2,2
N0.HOG0006331,All unbiased,2,2,2,2
N0.HOG0006368,All unbiased,2,2,2,2
N0.HOG0006384,All female-biased,2,2,2,2
N0.HOG0006400,All unbiased,2,2,2,2
N0.HOG0006402,All unbiased,2,2,2,2
N0.HOG0006403,All unbiased,2,2,2,2
N0.HOG0006405,All unbiased,2,2,2,2
N0.HOG0006415,All unbiased,2,2,2,2
N0.HOG0006431,Male + Unbiased,2,2,2,2
N0.HOG0006434,All male-biased,2,2,2,2
N0.HOG0006435,All male-biased,2,2,2,2
N0.HOG0006436,All unbiased,2,2,2,2
N0.HOG0006453,Female + Unbiased,3,5,4,3
N0.HOG0006457,All unbiased,2,2,2,2
N0.HOG0006473,All unbiased,2,2,2,2
N0.HOG0006486,Male + Unbiased,2,2,2,2
N0.HOG0006494,All unbiased,2,2,2,2
N0.HOG0006522,All unbiased,2,2,2,2
N0.HOG0006551,All unbiased,2,2,2,2
N0.HOG0006554,Female + Unbiased,2,2,2,2
N0.HOG0006555,All unbiased,2,2,2,2
N0.HOG0006559,All unbiased,2,2,2,2
N0.HOG0006568,All unbiased,3,3,3,3
N0.HOG0006591,All unbiased,2,2,2,2
N0.HOG0006604,All unbiased,2,2,2,2
N0.HOG0006605,All unbiased,2,2,2,2
N0.HOG0006606,All unbiased,2,2,2,2
N0.HOG0006607,All unbiased,2,2,2,2
N0.HOG0006608,All unbiased,2,2,2,2
N0.HOG0006609,All unbiased,2,2,2,2
N0.HOG0006610,All male-biased,3,3,3,3
N0.HOG0006611,All unbiased,2,2,2,2
N0.HOG0006612,Female + Unbiased,2,2,2,2
N0.HOG0006614,All female-biased,2,2,2,2
N0.HOG0006615,Female + Unbiased,2,2,2,2
N0.HOG0006616,Male + Unbiased,2,2,2,2
N0.HOG0006617,All unbiased,2,2,2,2
N0.HOG0006618,All female-biased,2,2,2,2
N0.HOG0006619,All unbiased,2,2,2,2
N0.HOG0006620,All unbiased,2,2,2,2
N0.HOG0006628,All female-biased,2,2,2,2
N0.HOG0006629,All female-biased,2,2,2,2
N0.HOG0006638,All unbiased,2,2,2,2
N0.HOG0006644,All male-biased,2,2,2,2
N0.HOG0006651,All unbiased,2,2,2,2
N0.HOG0006667,All unbiased,2,2,2,2
N0.HOG0006672,All unbiased,2,2,2,2
N0.HOG0006674,All unbiased,2,2,2,2
N0.HOG0006686,All unbiased,2,2,2,2
N0.HOG0006693,Female + Unbiased,2,2,2,2
N0.HOG0006698,All unbiased,2,2,2,2
N0.HOG0006699,All unbiased,2,2,2,2
N0.HOG0006705,All unbiased,2,2,2,2
N0.HOG0006706,All female-biased,2,2,2,2
N0.HOG0006707,All male-biased,2,2,2,2
N0.HOG0006713,All unbiased,2,2,2,2
N0.HOG0006714,All unbiased,2,2,2,2
N0.HOG0006734,All unbiased,2,2,2,2
N0.HOG0006750,All unbiased,2,2,2,2
N0.HOG0006753,All unbiased,2,2,2,2
N0.HOG0006754,All unbiased,2,2,2,2
N0.HOG0006755,All male-biased,2,2,2,2
N0.HOG0006756,All female-biased,2,2,2,2
N0.HOG0006757,All unbiased,2,2,2,2
N0.HOG0006760,All female-biased,2,2,2,2
N0.HOG0006776,All unbiased,2,2,2,2
N0.HOG0006777,All unbiased,2,2,2,2
N0.HOG0006800,All unbiased,2,2,2,2
N0.HOG0006820,All unbiased,2,2,2,2
N0.HOG0006840,All unbiased,2,2,2,2
N0.HOG0006841,All unbiased,2,2,2,2
N0.HOG0006842,All unbiased,2,2,2,2
N0.HOG0006872,Male + Unbiased,2,2,2,2
N0.HOG0006898,All unbiased,2,2,2,2
N0.HOG0006903,All unbiased,2,2,2,2
N0.HOG0006910,All unbiased,2,2,2,2
N0.HOG0006911,All unbiased,2,3,3,2
N0.HOG0006912,All male-biased,2,2,2,2
N0.HOG0006913,All unbiased,2,2,2,2
N0.HOG0006921,Male + Unbiased,4,13,11,4
N0.HOG0006927,All unbiased,2,2,2,2
N0.HOG0006928,All female-biased,2,2,2,2
N0.HOG0006929,All unbiased,2,2,2,2
N0.HOG0006942,Female + Unbiased,2,2,2,2
N0.HOG0006944,All unbiased,2,2,2,2
N0.HOG0006945,All unbiased,2,2,2,2
N0.HOG0006946,All male-biased,2,2,2,2
N0.HOG0006948,All male-biased,2,2,2,2
N0.HOG0006961,All female-biased,2,2,2,2
N0.HOG0006964,All unbiased,2,2,2,2
N0.HOG0006975,Female + Unbiased,3,3,3,3
N0.HOG0006979,All unbiased,2,2,2,2
N0.HOG0006980,All unbiased,2,2,2,2
N0.HOG0006988,All unbiased,2,2,2,2
N0.HOG0006989,All unbiased,2,2,2,2
N0.HOG0006990,All male-biased,2,2,2,2
N0.HOG0006991,Male + Unbiased,2,2,2,2
N0.HOG0006992,All unbiased,2,2,2,2
N0.HOG0006994,All unbiased,2,2,2,2
N0.HOG0006995,Female + Unbiased,8,8,8,8
N0.HOG0007004,Female + Unbiased,7,7,7,7
N0.HOG0007005,All unbiased,2,2,2,2
N0.HOG0007008,All unbiased,2,2,2,2
N0.HOG0007014,All male-biased,2,2,2,2
N0.HOG0007015,All unbiased,2,2,2,2
N0.HOG0007017,All female-biased,2,2,2,2
N0.HOG0007028,Female + Unbiased,3,3,3,3
N0.HOG0007030,All unbiased,2,2,2,2
N0.HOG0007043,All female-biased,2,2,2,2
N0.HOG0007056,All unbiased,2,2,2,2
N0.HOG0007059,All male-biased,3,3,3,3
N0.HOG0007060,All unbiased,3,3,3,3
N0.HOG0007061,All unbiased,4,4,4,4
N0.HOG0007062,Female + Unbiased,2,2,2,2
N0.HOG0007063,All unbiased,2,2,2,2
N0.HOG0007065,All unbiased,2,2,2,2
N0.HOG0007066,All unbiased,2,2,2,2
N0.HOG0007067,All female-biased,2,2,2,2
N0.HOG0007068,All unbiased,2,2,2,2
N0.HOG0007069,All male-biased,2,2,2,2
N0.HOG0007071,All unbiased,2,2,2,2
N0.HOG0007072,All unbiased,2,2,2,2
N0.HOG0007074,All unbiased,2,2,2,2
N0.HOG0007079,All unbiased,2,2,2,2
N0.HOG0007097,All female-biased,2,2,2,2
N0.HOG0007098,All unbiased,2,2,2,2
N0.HOG0007100,All unbiased,2,2,2,2
N0.HOG0007114,All unbiased,2,2,2,2
N0.HOG0007125,All unbiased,2,2,2,2
N0.HOG0007131,All unbiased,2,2,2,2
N0.HOG0007132,All female-biased,2,2,2,2
N0.HOG0007133,All unbiased,2,2,2,2
N0.HOG0007145,All female-biased,2,2,2,2
N0.HOG0007149,All unbiased,2,2,2,2
N0.HOG0007161,All male-biased,2,2,2,2
N0.HOG0007163,All male-biased,2,2,2,2
N0.HOG0007173,All unbiased,3,3,3,3
N0.HOG0007181,All unbiased,2,2,2,2
N0.HOG0007188,Male + Unbiased,2,2,2,2
N0.HOG0007292,All unbiased,2,2,2,2
N0.HOG0007349,All unbiased,2,5,4,2
N0.HOG0007355,All unbiased,3,3,3,3
N0.HOG0007365,All unbiased,2,2,2,2
N0.HOG0007395,All male-biased,3,8,6,3
N0.HOG0007405,All unbiased,2,2,2,2
N0.HOG0007409,All male-biased,2,2,2,2
N0.HOG0007413,All male-biased,2,2,2,2
N0.HOG0007483,All unbiased,2,2,2,2
N0.HOG0007539,Male + Unbiased,3,3,3,3
N0.HOG0007556,All male-biased,2,2,2,2
N0.HOG0007575,All unbiased,2,2,2,2
N0.HOG0007599,All male-biased,2,2,2,2
N0.HOG0007601,Female + Unbiased,2,2,2,2
N0.HOG0007604,All female-biased,2,2,2,2
N0.HOG0007622,All unbiased,2,2,2,2
N0.HOG0007655,All unbiased,2,2,2,2
N0.HOG0007664,All female-biased,2,2,2,2
N0.HOG0007665,All unbiased,2,2,2,2
N0.HOG0007697,All female-biased,2,2,2,2
N0.HOG0007700,Male + Unbiased,3,3,3,3
N0.HOG0007701,Female + Unbiased,2,2,2,2
N0.HOG0007720,All female-biased,2,2,2,2
N0.HOG0007743,All unbiased,2,2,2,2
N0.HOG0007769,All unbiased,2,2,2,2
N0.HOG0007772,All unbiased,2,2,2,2
N0.HOG0007802,All unbiased,2,2,2,2
N0.HOG0007805,All male-biased,2,2,2,2
N0.HOG0007829,All unbiased,2,2,2,2
N0.HOG0007880,All unbiased,2,2,2,2
N0.HOG0007881,All unbiased,2,2,2,2
N0.HOG0007882,All male-biased,2,2,2,2
N0.HOG0007887,All unbiased,2,3,3,2
N0.HOG0007904,All unbiased,2,2,2,2
N0.HOG0007917,All unbiased,2,2,2,2
N0.HOG0007925,Male + Unbiased,2,2,2,2
N0.HOG0007975,All male-biased,2,2,2,2
N0.HOG0007995,All unbiased,2,2,2,2
N0.HOG0007996,Male + Unbiased,2,2,2,2
N0.HOG0007997,All male-biased,2,2,2,2
N0.HOG0008021,All male-biased,2,2,2,2
N0.HOG0008140,All unbiased,2,2,2,2
N0.HOG0008160,All male-biased,2,2,2,2
N0.HOG0008161,All unbiased,2,2,2,2
N0.HOG0008169,All unbiased,2,2,2,2
N0.HOG0008215,All male-biased,2,2,2,2
N0.HOG0008228,All male-biased,3,8,8,3
N0.HOG0008229,All male-biased,4,11,10,4
N0.HOG0008303,All female-biased,2,2,2,2
N0.HOG0008309,All unbiased,2,2,2,2
N0.HOG0008364,All unbiased,2,2,2,2
N0.HOG0008370,All unbiased,2,2,2,2
N0.HOG0008372,All unbiased,2,2,2,2
N0.HOG0008373,All unbiased,2,2,2,2
N0.HOG0008374,All unbiased,2,2,2,2
N0.HOG0008376,All female-biased,2,2,2,2
N0.HOG0008377,All female-biased,2,2,2,2
N0.HOG0008380,All male-biased,2,2,2,2
N0.HOG0008423,Male + Unbiased,2,2,2,2
N0.HOG0008443,All male-biased,2,2,2,2
N0.HOG0008445,All unbiased,2,2,2,2
N0.HOG0008446,All male-biased,2,2,2,2
N0.HOG0008451,All unbiased,2,2,2,2
N0.HOG0008469,All unbiased,2,2,2,2
N0.HOG0008489,All female-biased,2,2,2,2
N0.HOG0008491,All unbiased,2,2,2,2
N0.HOG0008498,All male-biased,2,2,2,2
N0.HOG0008538,All male-biased,2,2,2,2
N0.HOG0008550,All unbiased,2,2,2,2
N0.HOG0008586,All unbiased,2,2,2,2
N0.HOG0008615,All unbiased,2,2,2,2
N0.HOG0008740,All unbiased,2,2,2,2
N0.HOG0008754,All unbiased,2,2,2,2
N0.HOG0008755,All female-biased,2,2,2,2
N0.HOG0008762,All male-biased,2,3,3,2
N0.HOG0008771,All male-biased,2,2,2,2
N0.HOG0008798,Female + Unbiased,6,6,6,6
N0.HOG0008808,All male-biased,2,2,2,2
N0.HOG0008865,All unbiased,2,2,2,2
N0.HOG0008866,All male-biased,4,5,5,4
N0.HOG0008917,Female + Unbiased,4,4,4,4
N0.HOG0008920,All unbiased,2,2,2,2
N0.HOG0008921,All female-biased,2,2,2,2
N0.HOG0008932,Male + Unbiased,2,2,2,2
N0.HOG0008948,All female-biased,2,2,2,2
N0.HOG0008972,All male-biased,7,7,7,7
N0.HOG0008993,All female-biased,2,2,2,2
N0.HOG0009000,All female-biased,2,6,5,2
N0.HOG0009010,Male + Unbiased,4,7,6,4
N0.HOG0009017,All unbiased,2,3,3,2
N0.HOG0009018,All male-biased,4,8,6,4
N0.HOG0009019,All unbiased,4,14,9,4
N0.HOG0009020,All unbiased,3,14,12,3
N0.HOG0009021,All male-biased,2,14,9,2
N0.HOG0009022,Male + Unbiased,4,14,10,4
N0.HOG0009023,All three,6,14,12,6
N0.HOG0009026,All unbiased,2,7,6,2
N0.HOG0009027,All unbiased,3,14,14,3
N0.HOG0009028,All unbiased,5,9,9,5
N0.HOG0009029,Male + Unbiased,2,2,2,2
N0.HOG0009174,Male + Unbiased,2,3,3,2
N0.HOG0009187,All male-biased,2,2,2,2
N0.HOG0009220,All female-biased,2,2,2,2
N0.HOG0009248,All male-biased,4,6,5,4
N0.HOG0009260,All female-biased,3,3,3,3
N0.HOG0009262,All unbiased,2,2,2,2
N0.HOG0009274,All male-biased,2,2,2,2
N0.HOG0009294,All unbiased,2,2,2,2
N0.HOG0009300,All unbiased,2,2,2,2
N0.HOG0009301,All unbiased,2,2,2,2
N0.HOG0009319,All female-biased,2,2,2,2
N0.HOG0009326,All female-biased,2,2,2,2
N0.HOG0009331,All unbiased,2,2,2,2
N0.HOG0009366,All male-biased,2,2,2,2
N0.HOG0009371,All male-biased,2,2,2,2
N0.HOG0009372,All female-biased,2,2,2,2
N0.HOG0009391,All unbiased,2,2,2,2
N0.HOG0009392,All male-biased,2,2,2,2
N0.HOG0009424,All male-biased,3,3,3,3
N0.HOG0009426,All female-biased,3,3,3,3
N0.HOG0009441,Male + Female,2,3,2,2
N0.HOG0009459,Male + Unbiased,2,2,2,2
N0.HOG0009460,All unbiased,2,2,2,2
N0.HOG0009471,All male-biased,2,2,2,2
N0.HOG0009489,Male + Unbiased,2,2,2,2
N0.HOG0009494,Female + Unbiased,2,2,2,2
N0.HOG0009501,Male + Unbiased,2,2,2,2
N0.HOG0009505,All unbiased,2,2,2,2
N0.HOG0009511,All male-biased,2,4,4,2
N0.HOG0009513,All unbiased,2,2,2,2
N0.HOG0009583,All unbiased,2,2,2,2
N0.HOG0009613,All male-biased,2,2,2,2
N0.HOG0009614,Male + Unbiased,4,4,4,4
N0.HOG0009620,Male + Female,4,4,4,4
N0.HOG0009650,All male-biased,2,2,2,2
N0.HOG0009692,All unbiased,2,2,2,2
N0.HOG0009693,All unbiased,2,2,2,2
N0.HOG0009725,All male-biased,2,2,2,2
N0.HOG0009743,All unbiased,2,2,2,2
N0.HOG0009744,All male-biased,2,2,2,2
N0.HOG0009750,Male + Unbiased,3,9,9,3
N0.HOG0009771,All female-biased,2,2,2,2
N0.HOG0009777,All female-biased,2,2,2,2
N0.HOG0009810,All unbiased,2,2,2,2
N0.HOG0009828,All male-biased,2,2,2,2
N0.HOG0009866,All male-biased,2,2,2,2
N0.HOG0009935,All male-biased,3,3,3,3
N0.HOG0009943,All unbiased,2,2,2,2
N0.HOG0009946,All male-biased,2,2,2,2
N0.HOG0009949,All unbiased,3,3,3,3
N0.HOG0009951,All unbiased,2,2,2,2
N0.HOG0009955,All unbiased,2,2,2,2
N0.HOG0009956,All male-biased,2,2,2,2
N0.HOG0009977,All male-biased,2,2,2,2
N0.HOG0009983,All unbiased,2,2,2,2
N0.HOG0009984,All female-biased,2,2,2,2
N0.HOG0009985,All unbiased,2,2,2,2
N0.HOG0010000,Female + Unbiased,2,2,2,2
N0.HOG0010001,All female-biased,2,2,2,2
N0.HOG0010003,All unbiased,2,2,2,2
N0.HOG0010007,All male-biased,2,2,2,2
N0.HOG0010024,All unbiased,2,2,2,2
N0.HOG0010049,Female + Unbiased,2,2,2,2
N0.HOG0010055,All unbiased,2,2,2,2
N0.HOG0010069,Female + Unbiased,2,2,2,2
N0.HOG0010078,All unbiased,2,3,2,2
N0.HOG0010094,All unbiased,4,5,4,4
N0.HOG0010098,All unbiased,2,2,2,2
N0.HOG0010103,Male + Unbiased,6,10,10,6
N0.HOG0010105,Male + Unbiased,4,10,9,4
N0.HOG0010110,Male + Unbiased,2,7,6,2
N0.HOG0010111,Male + Unbiased,5,12,11,5
N0.HOG0010119,All unbiased,2,4,3,2
N0.HOG0010120,All unbiased,9,13,13,9
N0.HOG0010122,All male-biased,3,7,6,3
N0.HOG0010125,Male + Unbiased,3,8,8,3
N0.HOG0010126,Male + Unbiased,8,13,13,8
N0.HOG0010203,Male + Unbiased,3,9,7,3
N0.HOG0010231,All unbiased,2,2,2,2
N0.HOG0010266,All unbiased,2,2,2,2
N0.HOG0010272,All unbiased,2,2,2,2
N0.HOG0010276,All male-biased,2,2,2,2
N0.HOG0010288,All unbiased,2,2,2,2
N0.HOG0010308,Male + Unbiased,2,5,5,2
N0.HOG0010309,All unbiased,3,3,3,3
N0.HOG0010322,All unbiased,2,10,8,2
N0.HOG0010346,All unbiased,2,2,2,2
N0.HOG0010365,All male-biased,2,2,2,2
N0.HOG0010373,All unbiased,2,2,2,2
N0.HOG0010384,All male-biased,2,3,2,2
N0.HOG0010411,All unbiased,2,8,6,2
N0.HOG0010412,Male + Unbiased,2,2,2,2
N0.HOG0010449,Female + Unbiased,2,2,2,2
N0.HOG0010451,All unbiased,2,2,2,2
N0.HOG0010460,All male-biased,2,2,2,2
N0.HOG0010485,All male-biased,2,2,2,2
N0.HOG0010501,All male-biased,3,8,8,3
N0.HOG0010516,All unbiased,2,2,2,2
N0.HOG0010525,Male + Unbiased,5,11,11,5
N0.HOG0010528,All female-biased,2,2,2,2
N0.HOG0010533,All male-biased,2,2,2,2
N0.HOG0010582,All unbiased,2,2,2,2
N0.HOG0010597,All unbiased,2,2,2,2
N0.HOG0010603,All unbiased,2,2,2,2
N0.HOG0010613,All unbiased,2,2,2,2
N0.HOG0010617,All male-biased,2,2,2,2
N0.HOG0010618,All male-biased,2,2,2,2
N0.HOG0010622,All unbiased,2,2,2,2
N0.HOG0010624,All unbiased,2,2,2,2
N0.HOG0010637,All unbiased,2,2,2,2
N0.HOG0010649,All unbiased,2,2,2,2
N0.HOG0010655,All unbiased,2,2,2,2
N0.HOG0010660,All unbiased,2,2,2,2
N0.HOG0010769,Female + Unbiased,2,2,2,2
N0.HOG0010773,All male-biased,2,4,4,2
N0.HOG0010777,All unbiased,5,5,5,5
N0.HOG0010782,All male-biased,2,3,3,2
N0.HOG0010788,Female + Unbiased,11,11,11,11
N0.HOG0010789,All male-biased,4,11,9,4
N0.HOG0010790,All unbiased,3,12,11,3
N0.HOG0010792,All unbiased,5,9,7,5
N0.HOG0010794,All unbiased,3,12,9,3
N0.HOG0010795,Male + Unbiased,7,12,12,7
N0.HOG0010796,All male-biased,2,7,7,2
N0.HOG0010798,Male + Unbiased,4,11,9,4
N0.HOG0010800,All male-biased,2,3,2,2
N0.HOG0010801,Male + Unbiased,6,8,8,6
N0.HOG0010905,Male + Unbiased,2,3,3,2
N0.HOG0010957,All unbiased,2,2,2,2
N0.HOG0011005,All unbiased,2,2,2,2
N0.HOG0011017,All male-biased,3,4,4,3
N0.HOG0011018,All male-biased,2,2,2,2
N0.HOG0011030,All female-biased,2,2,2,2
N0.HOG0011086,Female + Unbiased,9,9,9,9
N0.HOG0011092,All unbiased,2,2,2,2
N0.HOG0011100,Female + Unbiased,2,2,2,2
N0.HOG0011105,Male + Unbiased,5,5,5,5
N0.HOG0011108,Male + Unbiased,2,2,2,2
N0.HOG0011113,All unbiased,2,2,2,2
N0.HOG0011115,All male-biased,2,3,3,2
N0.HOG0011123,All male-biased,2,2,2,2
N0.HOG0011140,All three,4,4,4,4
N0.HOG0011151,All unbiased,2,2,2,2
N0.HOG0011154,All unbiased,2,2,2,2
N0.HOG0011160,All male-biased,3,3,3,3
N0.HOG0011173,All unbiased,2,2,2,2
N0.HOG0011178,All female-biased,2,2,2,2
N0.HOG0011180,All unbiased,2,10,7,2
N0.HOG0011261,All male-biased,2,2,2,2
N0.HOG0011305,All unbiased,2,2,2,2
N0.HOG0011311,All unbiased,2,2,2,2
N0.HOG0011314,Male + Unbiased,3,3,3,3
N0.HOG0011315,All unbiased,2,7,5,2
N0.HOG0011335,Male + Unbiased,2,8,8,2
N0.HOG0011338,Male + Unbiased,7,10,8,7
N0.HOG0011340,Male + Female,2,11,11,2
N0.HOG0011342,Female + Unbiased,2,11,10,2
N0.HOG0011343,Male + Unbiased,5,10,7,5
N0.HOG0011344,Male + Unbiased,3,11,11,3
N0.HOG0011447,All male-biased,2,2,2,2
N0.HOG0011462,All male-biased,2,2,2,2
N0.HOG0011464,All unbiased,2,2,2,2
N0.HOG0011466,All male-biased,2,3,3,2
N0.HOG0011483,All unbiased,2,2,2,2
N0.HOG0011493,Male + Unbiased,2,2,2,2
N0.HOG0011497,All unbiased,4,4,4,4
N0.HOG0011499,Male + Unbiased,2,9,9,2
N0.HOG0011511,All unbiased,2,2,2,2
N0.HOG0011541,Male + Unbiased,2,7,4,2
N0.HOG0011546,All female-biased,2,2,2,2
N0.HOG0011554,All male-biased,2,2,2,2
N0.HOG0011557,All male-biased,2,3,3,2
N0.HOG0011561,Male + Unbiased,3,9,9,3
N0.HOG0011565,All unbiased,2,2,2,2
N0.HOG0011580,All female-biased,2,3,3,2
N0.HOG0011597,Male + Unbiased,3,3,3,3
