HOG,category,n_expressed_dups,hog_size_genome,hog_size_mapped,hog_size_expressed
N0.HOG0000820,All three,3,20,17,3
N0.HOG0000825,All male-biased,2,2,2,2
N0.HOG0000826,All unbiased,2,2,2,2
N0.HOG0000827,Male + Unbiased,6,6,6,6
N0.HOG0000831,All three,5,5,5,5
N0.HOG0000832,All unbiased,2,2,2,2
N0.HOG0000834,Female + Unbiased,2,2,2,2
N0.HOG0000836,Male + Unbiased,8,8,8,8
N0.HOG0000838,Male + Unbiased,2,2,2,2
N0.HOG0000839,All unbiased,2,7,4,2
N0.HOG0000840,All male-biased,2,2,2,2
N0.HOG0000848,Male + Unbiased,4,4,4,4
N0.HOG0000851,All male-biased,3,6,6,3
N0.HOG0000852,All unbiased,4,4,4,4
N0.HOG0000853,All three,6,6,6,6
N0.HOG0000854,Male + Unbiased,2,2,2,2
N0.HOG0000861,All unbiased,3,4,4,3
N0.HOG0000862,All male-biased,9,11,11,9
N0.HOG0000863,Female + Unbiased,2,2,2,2
N0.HOG0000865,All unbiased,2,2,2,2
N0.HOG0000870,All unbiased,2,4,4,2
N0.HOG0000871,All male-biased,7,30,7,7
N0.HOG0000879,All unbiased,2,2,2,2
N0.HOG0000880,Male + Unbiased,15,22,18,15
N0.HOG0000884,All male-biased,2,2,2,2
N0.HOG0000886,Female + Unbiased,3,3,3,3
N0.HOG0000888,All unbiased,3,3,3,3
N0.HOG0000889,All male-biased,8,9,9,8
N0.HOG0000890,All unbiased,2,2,2,2
N0.HOG0000894,All male-biased,2,2,2,2
N0.HOG0000896,Female + Unbiased,5,5,5,5
N0.HOG0000897,All male-biased,2,2,2,2
N0.HOG0000900,Male + Female,2,2,2,2
N0.HOG0000904,All unbiased,2,2,2,2
N0.HOG0000905,All male-biased,5,6,6,5
N0.HOG0000908,All unbiased,7,10,8,7
N0.HOG0000915,All unbiased,2,2,2,2
N0.HOG0000917,All unbiased,2,2,2,2
N0.HOG0000918,Male + Unbiased,2,2,2,2
N0.HOG0000919,Female + Unbiased,4,4,4,4
N0.HOG0000926,Female + Unbiased,2,2,2,2
N0.HOG0000934,Male + Unbiased,3,3,3,3
N0.HOG0000938,Male + Unbiased,5,5,5,5
N0.HOG0000939,All unbiased,2,2,2,2
N0.HOG0000940,All unbiased,2,4,4,2
N0.HOG0000941,All male-biased,3,3,3,3
N0.HOG0000942,All unbiased,2,2,2,2
N0.HOG0000944,Male + Unbiased,3,3,3,3
N0.HOG0000945,All male-biased,2,2,2,2
N0.HOG0000946,All unbiased,2,2,2,2
N0.HOG0000947,Female + Unbiased,2,2,2,2
N0.HOG0000949,All unbiased,2,23,2,2
N0.HOG0000951,Male + Unbiased,4,31,22,4
N0.HOG0000953,All female-biased,2,8,5,2
N0.HOG0000960,Male + Unbiased,3,4,4,3
N0.HOG0000961,All male-biased,2,2,2,2
N0.HOG0000962,Male + Unbiased,2,2,2,2
N0.HOG0000966,Female + Unbiased,3,3,3,3
N0.HOG0000967,Male + Unbiased,9,23,23,9
N0.HOG0000968,All male-biased,2,2,2,2
N0.HOG0000970,All unbiased,2,2,2,2
N0.HOG0000971,Male + Unbiased,2,2,2,2
N0.HOG0000976,Female + Unbiased,2,2,2,2
N0.HOG0000983,Male + Unbiased,2,4,4,2
N0.HOG0000984,All male-biased,3,3,3,3
N0.HOG0000985,All male-biased,3,3,3,3
N0.HOG0000993,All unbiased,2,4,4,2
N0.HOG0000995,Male + Unbiased,4,33,29,4
N0.HOG0000996,All unbiased,4,21,18,4
N0.HOG0001002,All unbiased,2,2,2,2
N0.HOG0001016,All unbiased,2,2,2,2
N0.HOG0001020,Female + Unbiased,3,3,3,3
N0.HOG0001021,Male + Unbiased,3,3,3,3
N0.HOG0001022,Male + Unbiased,2,3,3,2
N0.HOG0001023,All male-biased,3,3,3,3
N0.HOG0001024,Male + Unbiased,2,2,2,2
N0.HOG0001026,All unbiased,2,2,2,2
N0.HOG0001027,Male + Unbiased,2,2,2,2
N0.HOG0001028,All unbiased,2,2,2,2
N0.HOG0001029,Male + Unbiased,2,3,3,2
N0.HOG0001031,All unbiased,3,3,3,3
N0.HOG0001032,Male + Unbiased,2,2,2,2
N0.HOG0001035,Male + Unbiased,2,2,2,2
N0.HOG0001041,All unbiased,2,2,2,2
N0.HOG0001043,All unbiased,2,2,2,2
N0.HOG0001045,Male + Unbiased,2,19,18,2
N0.HOG0001057,Male + Unbiased,2,2,2,2
N0.HOG0001058,All unbiased,3,3,3,3
N0.HOG0001064,All male-biased,2,2,2,2
N0.HOG0001065,All unbiased,2,2,2,2
N0.HOG0001066,All male-biased,2,2,2,2
N0.HOG0001068,Male + Unbiased,4,29,25,4
N0.HOG0001074,Male + Unbiased,2,2,2,2
N0.HOG0001077,Male + Unbiased,2,2,2,2
N0.HOG0001078,All male-biased,2,2,2,2
N0.HOG0001087,All unbiased,2,2,2,2
N0.HOG0001088,All female-biased,2,2,2,2
N0.HOG0001089,Male + Unbiased,3,3,3,3
